P85941	10	1202.34
P83010	13	1496.5
P21215	29	2900.5
P85942	28	3248.82
Q6GZR0	54	4910.4
Q9UTC0	50	5316.18
Q6GZN2	55	5687.31
P19326	51	5972.06
O55714	50	5979.42
Q6GZU6	50	5989.73
Q6GZX1	60	6514.34
Q6GZU3	63	6612.7
Q196V7	60	6669.64
Q91G70	59	6681.76
Q91G40	55	6698.17
O55743	57	6754.14
Q6GZN9	61	6779.74
Q9SP07	60	6954.84
Q6GZT2	61	7009.16
Q6GZR4	60	7037.97
O55723	57	7057.32
O55724	57	7063.27
Q196T8	67	7338.84
O55728	61	7385.21
O55746	64	7429.09
Q9G058	64	7486.57
O55745	65	7525.75
Q6GZW2	68	7548.78
P85939	66	7720.7
O55726	68	7729.78
Q6GZM7	66	7786.07
Q196U3	68	7823.14
Q6GZW4	70	7872.38
Q6GZP9	73	7965.12
Q91G54	65	8128.79
P19325	72	8184.52
Q6GZV7	78	8279.7
Q6GZQ4	77	8300.31
Q196U2	74	8434.67
Q6GZT0	81	8586.2
Q91G04	71	8691.41
Q6GZS2	76	8786.09
Q6GZW9	75	8848.15
Q6GZN3	79	8907.38
P85938	80	8974.39
P08105	79	9127.99
Q6GZQ0	84	9258.1
Q6GZQ6	88	9325.74
Q6GZT4	85	9356.54
P18557	82	9410.03
Q91G85	85	9521.97
Q197C0	83	9523.77
Q6GZS8	83	9565.75
O55725	80	9622.26
O55747	84	9820.3
O55735	89	10046.29
P18541	90	10183.78
A9JR44	91	10202.17
O55718	85	10247.74
Q6GZQ7	95	10264.49
Q197B5	90	10284.97
Q6GZR1	95	10353.05
Q6GZP4	92	10496.86
Q6IVU5	94	10530.14
Q43495	102	10576.41
Q6IUF9	94	10604.34
B2MW50	95	10650.49
O73557	99	10675.49
Q6UY71	95	10677.3
A0PJ23	95	10817.85
B0BLK0	95	10828.73
Q88470	95	10850.57
Q197E7	90	10851.35
Q6RSS3	95	10853.64
B2ZDY1	95	10915.85
B0BLK7	99	10941.72
Q27YE6	99	10968.89
B0BLK9	96	10980.7
B2C4J2	98	10985.66
A9JR22	95	10994.82
O55731	95	11054.78
Q91G56	94	11074.48
Q6UY62	100	11122.91
Q27YE2	101	11144.98
Q196X1	98	11207.09
Q6GZU7	98	11347.44
Q6GZU2	106	11427.07
Q91G65	100	11681.31
Q196T4	105	11968.31
Q196V2	104	12083.03
P0C9G8	104	12100.34
P0C9G5	104	12163.25
P18559	104	12213.25
Q05349	111	12416.13
Q6GZT7	116	12710.22
Q197D7	106	12766.97
Q6GZP8	115	12836.05
P0C9G6	113	13008.31
O55744	114	13034.99
O55734	120	13201.35
Q6GZW1	119	13357.92
P0C9G7	116	13363.77
Q6GZQ5	124	13371.01
Q91G55	116	13673.16
O55717	118	13689.05
Q6GZW8	128	13706.93
Q196V8	121	13711.18
P0C9H9	118	13790.88
P0C9K2	120	13822.06
P0C9J2	117	13899.05
P68744	118	13944.15
P0C9H5	120	13982.32
P0C9I0	118	13988.22
P0C9H7	118	13988.22
Q196U1	126	14066.36
P0C9H6	121	14109.51
P0C9H4	121	14109.51
P0C9H2	124	14169.47
P18558	124	14194.38
P0C9H3	124	14195.41
P0C9I3	125	14238.08
Q91G50	123	14309.12
P0C9H0	125	14341.65
P0C9H8	122	14367.62
P0C9H1	124	14386.65
O05839	130	14397.95
P0C9G9	125	14582.81
Q91G63	134	14639.05
O55710	129	14712.91
P0C9I6	124	14732.22
P0C9K3	127	14743.05
Q91G57	122	14747.93
P0C9I7	124	14763.06
P0C9I8	124	14763.07
P0C9I5	124	14778.12
Q197A3	130	14846.22
Q6GZW5	137	14878.21
P0C9F0	122	14969.1
P0C9J7	130	15042.09
Q6GZU5	139	15231.78
Q6GZM8	137	15301.85
P0C9F2	124	15327.43
P0C9E9	124	15327.43
P0C9F1	126	15342.33
Q91G67	129	15519.94
Q6GZS9	138	15541.72
Q6GZT1	136	15550.75
Q196T7	139	15787.36
P0C9I1	137	15916.13
P0C9I4	137	15984.24
P0C9I2	137	15994.19
Q6GZV5	148	16003.32
Q196U6	145	16073.94
Q197D0	144	16099.26
O55736	141	16270.95
P0A3E7	141	16371.1
P0A3E6	141	16371.1
O55737	142	16393.81
Q6GZN7	150	16506.93
P54479	145	16636.78
Q197A7	142	16766.83
Q65209	141	16803.87
P0C9F6	141	16819.87
P0C9F5	141	16829.76
P0C9F4	141	16830.79
P0C9F3	141	16853.9
Q197F7	156	17043.35
Q6GZR9	145	17056.44
P0C9F8	146	17155.49
P0C9F7	146	17196.55
P0C9G0	146	17250.55
Q65210	146	17257.88
Q6GZU1	153	17284.8
P0C9F9	147	17471.89
Q196Y8	156	17799.56
Q196Y3	147	17809.08
Q6GZN1	155	17850.58
O55705	155	17917.87
P68253	158	18000.08
Q196Y5	158	18190.81
Q6GZU8	162	18210.11
O55715	165	18412.45
O55713	156	18422.83
P0C9K1	157	18452.14
Q196X8	162	18900.28
P0C9K0	160	19114.72
P0AC51	171	19254.34
P0AC52	171	19254.34
Q196X9	175	19279.51
Q6GZT3	171	19306.53
Q6GZT6	182	19576.85
O55719	174	19707.69
P0C9J8	169	19806.54
Q197D5	178	19843.27
Q196Y7	177	19972.13
O55727	175	20018.89
P0C9J9	171	20150.89
Q6GZQ9	183	20309.79
Q196W8	171	20709.24
O55706	179	21273.47
P83004	194	21846.69
P68251	193	22053.69
Q6GZU0	207	22747.47
Q6GZT9	209	23152.11
O55740	201	23196.16
Q6GZX0	204	23417.74
Q197F5	217	23854.35
Q6GZP7	212	23984.65
Q6GZM9	223	24256.79
Q26537	214	24607.6
Q197D8	225	25107.75
Q196T6	236	25427.82
Q6GZV4	219	25445.39
Q6GZS6	229	25692.52
Q2R1D5	230	25853.74
Q6GZP1	245	26003.44
Q6GZQ3	238	26044.42
Q196Z8	232	26144.72
Q6GZR7	237	26254.57
Q32BU5	257	26483.13
B6I411	257	26485.09
B1LF36	257	26485.09
Q3YXK1	257	26485.09
Q0T0L8	257	26501.14
Q7UBJ3	257	26501.14
B7LQB7	257	26506.13
A9MPX1	257	26519.04
